"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3960","t9 Open package and then navigate to Flights section","firefox","2026-03-30","passed","2026-03-30","Destinations Page Functional Tests","destination.spec.js","",""
"","794","Login page loads correctly","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","3334","Flight search with same from/to city","firefox","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","8388","Flight search with multiple passengers","webkit","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","3091","Flight search with empty fields shows no results","firefox","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","2226","Search hotel with past check-in date","chromium","2026-03-30","passed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","7960","t1 View first package","webkit","2026-03-30","passed","2026-03-30","Destinations Page Functional Tests","destination.spec.js","",""
"","2863","Flight search with invalid city names","chromium","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","2350","Register page loads correctly","webkit","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
"","3974","Credit card - invalid CVV","chromium","2026-03-30","passed","2026-03-30","Payment Module Tests","payment.spec.js","",""
"","1143","Login with empty password shows error","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","3468","Credit card - invalid expiry","chromium","2026-03-30","passed","2026-03-30","Payment Module Tests","payment.spec.js","",""
"","864","Register page loads correctly","chromium","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
"","4131","Search hotel with past check-in date","firefox","2026-03-30","failed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","877","Register with invalid email shows error","chromium","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
"","3628","Search hotel and sort by rating (if exists)","firefox","2026-03-30","passed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","2718","Flight page loads correctly","chromium","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","5861","Switch from Hotels to Cars tab","webkit","2026-03-30","passed","2026-03-30","Home Page Tests","home.spec.js","",""
"","592","has title","firefox","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","6050","Search hotel with check-out before check-in","webkit","2026-03-30","passed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","8562","Credit card - invalid number","webkit","2026-03-30","passed","2026-03-30","Payment Module Tests","payment.spec.js","",""
"","2508","Search car city lowercase","chromium","2026-03-30","passed","2026-03-30","Car Page Functional Tests","car.spec.js","",""
"","1256","Register with password mismatch shows error","firefox","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
"","2885","Flight search with multiple passengers","chromium","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","843","Error disappears after filling valid inputs","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","7600","Search car for consecutive days","webkit","2026-03-30","passed","2026-03-30","Car Page Functional Tests","car.spec.js","",""
"","2916","Search hotel without dates shows warning","firefox","2026-03-30","passed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","2280","Search hotel, select dates and increase guests count","chromium","2026-03-30","passed","2026-03-30","Hotel Page Functional Tests","hotel.spec.js","",""
"","6153","Navigate to Cars page","webkit","2026-03-30","passed","2026-03-30","Flight Page Tests","flight.spec.js","",""
"","4927","Click back button from payment","firefox","2026-03-30","passed","2026-03-30","Payment Module Tests","payment.spec.js","",""
"","2082","Register with password mismatch shows error","chromium","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
"","837","Sign In button is enabled when inputs filled","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","5126","Pay with valid credit card","firefox","2026-03-30","passed","2026-03-30","Payment Module Tests","payment.spec.js","",""
"","2084","Check multiple bookings exist","chromium","2026-03-30","passed","2026-03-30","My Bookings Page Tests","myBookings.spec.js","",""
"","1129","Sign in button navigates back to login","firefox","2026-03-30","passed","2026-03-30","Register Page Tests","register.spec.js","",""
